10
Lviv   Donetsk  Kiev  Odessa Dnepr  Kharkiv  Zaporizhzhia Krivoy-Rog Ternopil Vinnitsa
0      1270.3   540   805    988.7  1015.7   1051.9       818.1      128.6    363.9
1270.3 0        747.3 731    263    303      230          408        1161     832
540    747.3    0     489    453    480      516          422        421      270
805    731      489   0      525    719      482          308        667      425
988.7  263      453   525    0      221      85           146        812      570
1015.7 303      480   719    221    0        297          372        895      745
1051.9 230      516   482    85     297      0            210        876      634
818.1  408      422   308    146    372      210          0          688      446
128.6  1161     421   667    812    895      876          688        0        234
363.9  832      270   425    570    745      634          446        234      0
